stationid,stationname,regionid
4217,한강공원 망원나들목,0
493,홍대입구역 6번출구,0
120,신수동 사거리,0
487,신석초교앞 교차로 교통섬,0
422,문화비축기지,0
438,성산2-1 공영주차장,0
199,서울 월드컵 경기장,0
105,합정역 5번출구 앞,0
4246,상수역새마을금고,0
3010,홍대입구역 3번출구,0
432,마포중앙도서관,0
182,망원2빗물펌프장 앞,0
108,서교동 사거리,0
4202,프런트원(공덕역 4번출구 앞),0
3002,벽산상암스마트큐브 ,0
418,월드컵경기장역 3번출구 옆,0
415,DMC역 9번출구 앞,0
142,아현역 4번출구 앞,0
124,서강대 정문 건너편,0
413,상암월드컵파크 3단지 후문,0
130,신촌역(2호선) 7번출구 앞,0
4222,서울디자인고등학교 앞,0
4207,아만티호텔 앞,0
427,성산시영아파트,0
417,DMC역 2번출구 옆,0
405,DMC빌 앞,0
426,서울신용보증재단,0
4212,한화오벨리스크 앞,0
416,상암월드컵파크 1단지 교차로,0
155,가좌역1 번출구 뒤,0
121,마포소방서 앞,0
421,마포구청 앞,0
3005,마포구청 청사내,0
119,서강나루 공원,0
402,상암월드컵파크 9단지 앞,0
4238,상암한샘빌딩앞,0
3003,래미안공덕3차아파트,0
156,서울서부지방법원 앞,0
106,합정역 7번출구 앞,0
410,상암중학교 옆,0
104,합정역 1번출구 앞,0
4210,가좌행복주택 앞,0
3006, 상암월드컵파크5단지(상암중학교),0
102,망원역 1번출구 앞,0
3011,경의선(노고산동),0
489,구룡근린공원,0
401,상암월드컵파크 10단지 앞,0
143,공덕역 2번출구,0
184,7번가피자 서교망원점,0
126,서강대 후문 옆,0
4211,시석빌딩 앞,0
114,홍대입구역 8번출구 앞,0
107,신한은행 서교동지점,0
125,서강대 남문 옆,0
412,DMC산학협력연구센터 앞,0
414,상암동주민센터 옆,0
411,DMC홍보관,0
4240,아현문화건강센터,0
4221,솔리스타오피스텔(공덕동주민센터),0
498,연남동주민센터 앞,0
122,신성기사식당 앞,0
113,홍대입구역 2번출구 앞,0
4206,광흥창역5번출구,0
3008,DMC역7번출구,0
490,가온문화공원,0
425,DMC첨단산업센터,0
4247,서울서부지방법원등기국앞,0
4239,성산2동 주민센터 ,0
118,광흥창역 2번출구 앞,0
103,망원역 2번출구 앞,0
3007,MBC 앞,0
146,마포역 2번출구 뒤,0
129,신촌역(2호선) 6번출구 옆,0
111,상수역 2번출구 앞,0
4234,에스테반,0
145,공덕역 5번출구,0
4248,신촌 교보빌딩,0
494,신수동주민센터,0
440,하늘공원 입구,0
4226,마포프레스티지자이 1,0
4208,스타벅스(동교동) 앞,0
4224,서부운전면허시험장,0
3009,서교동사거리(신),0
409,누리꿈스퀘어 옆,0
150,서강대역 2번출구 앞,0
112,극동방송국 앞,0
439,마포어린이공원,0
109,제일빌딩 앞,0
491,월드컵파크 4단지,0
400,상암한화오벨리스크 1차 앞,0
183,하늘채코오롱아파트 건너편,0
4251,공덕역 경의선숲길 커뮤니티센터,0
4216,망원정 앞,0
488,푸르메병원,0
437,대흥역 1번출구,0
407,마포구 육아종합지원센터,0
154,마포구청역,0
4233,코오롱아파트사거리,0
4213,마포구중앙도서관 정문 앞,0
420,서울시 공공자전거 상암센터,0
181,망원초록길 입구,0
148,용강동 주민센터 앞,0
127,현대벤처빌 앞,0
492,성산시영아파트 후문,0
406,상암월드컵파크 7단지 앞,0
403,부엉이공원 앞,0
147,마포역 4번출구 뒤,0
185,마포 신수공원 앞,0
4244,당인리발전소 공원 앞,0
4220,신촌 청년주택,0
497,합정동주민센터 앞,0
419,홈플러스 앞,0
4214,JTBC 앞,0
436,이대역 5번출구,0
186,월드컵공원,0
157,애오개역 4번출구 앞,0
4218,디지털매직스페이스,0
495,염리초등학교 앞,0
144,공덕역 8번출구,0
424,롯데하이마트 (상암월드컵점),0
408,LG CNS앞,0
153,성산2교 사거리,0
259,대방역6번출구,2
4582,국회도서관,2
4580,국회 3문,2
3220,래미안에스티움(신풍로) 앞,2
253,신풍역 5번출구 인근,2
4561,양평역 1번출구,2
4553,당산삼성2차아파트,2
289,대림3동사거리,2
263,근로자회관 사거리,2
256,동아에코빌입구,2
245,삼성생명 당산사옥 앞,2
241,신길우성1차아파트 앞 공원,2
204,국회의사당역 5번출구 옆,2
4565,영등포 신세계백화점,2
258,신길역3번출구,2
3203,도림동배드민턴체육관,2
260,여의도 마리나선착장 앞,2
223,진주아파트상가 앞,2
4571,문래동롯데캐슬아파트,2
4567,한림대학교 강남성심병원 신관,2
293,충북 미래관,2
249,여의도중학교 옆,2
230,영등포구청역 1번출구,2
4559,신길역 2번출구,2
3207,양남사거리 1,2
270,증권거래소후문교차로,2
248,초원아파트 앞,2
5851,도림천 건널목 위,2
295,영등포공원 분수대 앞,2
265,영등포유통상가 사거리,2
236,문래동자이아파트 앞,2
227,양평2나들목 보행통로 입구,2
209,유진투자증권빌딩 앞,2
206,KBS 앞,2
3214,영등포 푸르지오,2
221,여의도초교 앞,2
276,SK 영등포주유소,2
233,양평1동 YP센터 앞,2
3205,문래중학교,2
251,서울지방병무청 버스정류장,2
4576,보라매sk뷰 108동 앞,2
4573,두산위브아파트,2
4564,63스퀘어,2
4563,여의도 은하아파트,2
202,국민일보 앞,2
4566,대림성원상떼빌아파트,2
3206,문래동 주민센터,2
297,국회3문,2
267,삼성화재 사옥 옆,2
252,보라매역4번출구,2
234,영등포구민체육센터 앞,2
4579,국회의사당 본관,2
4556,리버뷰신안인스빌1차 후문,2
3201,당산skv1센터,2
268,그랜드컨벤션센터 앞,2
255,도림사거리,2
229,양평1 보행육교 앞,2
5852,대림동현대2차 201동 앞,2
4552,코레일유통본사,2
217,NH농협은행 앞,2
4588,양남사거리 2,2
284,센트럴 푸르지오 시티 앞,2
250,대림아파트 사거리,2
4594,양평교 영등포대여소,2
4569,힐스테이트클래시안아파트,2
207,여의나루역 1번출구 앞,2
4558,대영중고 후문,2
292,영일 어린이공원,2
